layer, H, W, C, R, S, K, padding, stride, conv?, N, P, Q
'features.3.sequence.1.sequence.1.conv',32,32,1024,30,30,120,1,1,2,120,5,5
'features.3.sequence.1.sequence.2.conv',32,32,1024,16,16,40,1,1,1,120,1,1
'features.4.sequence.0.conv',32,32,1024,16,16,80,1,2,1,40,3,3
'features.4.sequence.1.sequence.0.conv',16,16,1024,8,8,480,1,1,1,80,1,1
'features.4.sequence.1.sequence.1.conv',16,16,1024,14,14,480,1,1,2,480,5,5
'features.4.sequence.1.sequence.2.conv',16,16,1024,8,8,80,1,1,1,480,1,1
'features.4.sequence.1.sequence.0.conv',16,16,1024,8,8,480,1,1,1,80,1,1
'features.4.sequence.1.sequence.1.conv',16,16,1024,14,14,480,1,1,2,480,5,5
'features.4.sequence.1.sequence.2.conv',16,16,1024,8,8,80,1,1,1,480,1,1
'features.4.sequence.1.sequence.0.conv',16,16,1024,8,8,480,1,1,1,80,1,1
'features.4.sequence.1.sequence.1.conv',16,16,1024,14,14,480,1,1,2,480,5,5
'features.4.sequence.1.sequence.2.conv',16,16,1024,8,8,80,1,1,1,480,1,1
'features.5.sequence.0.conv',16,16,1024,16,16,96,1,1,1,80,3,3
'features.5.sequence.1.sequence.0.conv',16,16,1024,8,8,576,1,1,1,96,1,1
'features.5.sequence.1.sequence.1.conv',16,16,1024,16,16,576,1,1,2,576,3,3
'features.5.sequence.1.sequence.2.conv',16,16,1024,8,8,96,1,1,1,576,1,1
'features.5.sequence.1.sequence.0.conv',16,16,1024,8,8,576,1,1,1,96,1,1
'features.5.sequence.1.sequence.1.conv',16,16,1024,16,16,576,1,1,2,576,3,3
'features.5.sequence.1.sequence.2.conv',16,16,1024,8,8,96,1,1,1,576,1,1
'features.6.sequence.0.conv',16,16,1024,8,8,192,1,2,1,96,3,3
'features.6.sequence.1.sequence.0.conv',8,8,1024,4,4,1152,1,1,1,192,1,1
'features.6.sequence.1.sequence.1.conv',8,8,1024,6,6,1152,1,1,2,1152,5,5
'features.6.sequence.1.sequence.2.conv',8,8,1024,4,4,192,1,1,1,1152,1,1
'features.6.sequence.1.sequence.0.conv',8,8,1024,4,4,1152,1,1,1,192,1,1
'features.6.sequence.1.sequence.1.conv',8,8,1024,6,6,1152,1,1,2,1152,5,5
'features.6.sequence.1.sequence.2.conv',8,8,1024,4,4,192,1,1,1,1152,1,1
'features.6.sequence.1.sequence.0.conv',8,8,1024,4,4,1152,1,1,1,192,1,1
'features.6.sequence.1.sequence.1.conv',8,8,1024,6,6,1152,1,1,2,1152,5,5
'features.6.sequence.1.sequence.2.conv',8,8,1024,4,4,192,1,1,1,1152,1,1
'features.6.sequence.1.sequence.0.conv',8,8,1024,4,4,1152,1,1,1,192,1,1
'features.6.sequence.1.sequence.1.conv',8,8,1024,6,6,1152,1,1,2,1152,5,5
'features.6.sequence.1.sequence.2.conv',8,8,1024,4,4,192,1,1,1,1152,1,1
'features.7.sequence.0.conv',8,8,1024,4,4,320,1,2,1,192,3,3
'features.7.sequence.1.sequence.0.conv',4,4,1024,2,2,1920,1,1,1,320,1,1
'features.7.sequence.1.sequence.1.conv',4,4,1024,4,4,1920,1,1,2,1920,3,3
'features.7.sequence.1.sequence.2.conv',4,4,1024,2,2,320,1,1,1,1920,1,1
